,Profit/Loss
2014-07-08,-215.01947084750603
2014-07-16,857.1886916961942
2014-07-23,1400.174581467041
2014-07-31,3613.4580697608694
2014-08-13,3061.779865607989
2014-08-18,1984.0966330754711
2014-08-20,2929.468945485942
2014-10-24,-5615.134196933895
2014-11-06,2884.4908515662996
2014-11-11,4369.597603738712
2014-11-19,2823.2759035417735
2014-11-24,851.4893280887269
2014-11-28,751.4593023148914
2014-12-02,-13.734657177908502
2014-12-11,-1261.6147812449806
2014-12-16,3529.908570136355
2014-12-18,3185.084364373001
2014-12-22,358.3806872666422
2014-12-26,1082.373985807134
2015-01-06,-91.49776540528023
2015-01-14,757.0226722162267
2015-03-20,-11031.51260907196
2015-03-24,294.6490452789652
2015-03-26,530.8177705271156
2015-03-30,313.806171874804
2015-04-06,1755.1916739919493
2015-04-17,1189.8439863683298
2015-05-01,-2303.3792896133405
2015-05-07,3206.4116913889266
2015-05-15,523.040631973592
2015-05-19,482.95475173094593
2015-05-28,123.06269980359673
2015-06-02,3838.657729520312
2015-06-29,498.18840579710104
2015-07-09,7157.758230122412
2015-07-23,8121.571978688662
2015-07-31,5524.720337706055
2015-08-17,-1078.1277495089116
2015-08-20,1724.3951611009825
2015-08-24,5692.94206277823
2015-08-26,8633.610508221454
2015-10-08,-5814.15065138227
2015-10-14,3097.428908534739
2015-10-22,1034.9119643971005
2015-10-30,981.9549839040955
2015-11-16,-3280.5029481085985
2015-11-20,912.5755811002797
2015-11-25,2007.9944967252334
2015-12-18,-2138.564707205308
2016-01-06,1668.9305849832
2016-01-22,1715.038845180486
2016-02-17,-2941.1754645177384
2016-03-01,1081.9976573720985
2016-03-10,-431.37938379599643
2016-04-01,-3187.3034116726585
2016-04-13,-274.1560646613616
2016-04-19,961.6348858606341
2016-04-21,1284.5867897330047
2016-04-25,1514.2532233656145
2016-04-28,2577.49841419668
2016-05-13,-1579.2488715913398
2016-05-26,-607.5556374950335
2016-05-31,1379.803330027343
2016-06-02,758.1228605160803
2016-06-17,-751.8912619408209
2016-06-21,1185.7156458983534
2016-06-23,1349.7856678603594
2016-06-29,474.8709275239234
2016-07-08,650.40796251509
2016-07-12,1954.7972341772497
2016-07-15,1152.6660165517583
2016-07-26,1470.0464803834898
2016-08-02,1676.4920189334928
2016-09-06,-3588.723010840514
2016-09-08,64.76523521012615
2016-09-22,-145.03504424145677
2016-10-14,2857.7815794384974
2016-11-04,-585.7649763426512
2016-11-21,-884.8579928676845
2016-12-08,-805.8103336994777
2016-12-12,685.602493962709
2016-12-16,562.2368066175959
2016-12-20,412.0027093290602
2016-12-23,102.86278886587513
2017-01-09,670.3490460863076
2017-01-11,1484.0242062389386
2017-01-17,3387.954998842316
2017-01-23,5005.763431259649
2017-01-31,1216.8827084735926
2017-02-23,-344.8985113358417
2017-03-03,553.8550594170592
2017-03-14,339.1458182858554
2017-03-17,192.55284414696771
2017-03-29,305.1701283011871
2017-04-04,2360.8153473591756
2017-04-07,4878.649051487313
2017-04-19,2422.5210388111404
2017-05-03,283.42586548667043
2017-07-05,-8412.96019009614
2017-07-18,112.08654973386751
2017-07-21,1302.914893659683
2017-08-11,-273.6220710786241
2017-08-23,-2118.5415675808626
2017-08-31,3150.9844012389603
2017-09-14,6874.764310711259
2017-10-31,5389.758811711066
2017-11-08,3047.174104292282
2017-11-15,575.9561781241098
2017-12-29,-2202.2833582195676
2018-01-05,4637.367237454962
2018-01-17,1714.8618043002457
2018-01-30,2583.7423174984083
2018-02-05,4639.748387806719
2018-03-08,394.36217368566577
2018-03-13,1283.740177520747
2018-03-15,1353.4899273943768
2018-03-23,2845.8296074349096
2018-04-16,3529.088404673963
2018-05-04,-1238.128445271742
2018-05-16,4730.358708418458
2018-05-24,1830.0097886648991
2018-06-01,1053.4491831775497
2018-06-08,586.1449052810245
2018-06-15,1056.9820327057198
2018-06-21,2840.863849646894
2018-08-03,-852.4162286522784
2018-08-16,1596.7847569862176
2018-08-20,366.665522257487
2018-09-04,410.66218130653215
2018-09-06,3132.2181433410046
2018-09-18,21942.751879606694
2018-09-21,13268.977815933302
2018-10-04,4191.5999211278495
2018-10-08,-155.9794651609389
2018-10-10,4375.268324484174
2018-11-21,-9529.95323388607
2018-11-28,384.56404201250695
2018-12-19,2152.3922930700924
2019-01-17,9334.676088731781
2019-02-01,-2201.3255812869606
2019-02-13,1834.560810387472
2019-02-25,-2852.2114164519107
2019-03-08,386.11438680873016
2019-03-20,-54.68242610849427
2019-04-02,3663.976010886564
2019-04-12,3673.2742393095323
2019-05-23,-2389.366456869017
2019-06-06,6505.766605094039
2019-06-19,449.56908311633333
2019-07-11,22755.519090287737
2019-07-15,11761.022919117506
2019-09-12,-3093.9952705683663
2019-09-16,5723.711479377054
2019-09-19,13107.54923019498
2019-09-30,6018.418659711157
2019-10-10,-1044.6268244757998
2019-10-16,3435.5127093227316
2019-10-25,-342.6435749355496
2019-10-30,3129.7356231401423
2019-12-20,-3437.3536058762575
2020-01-09,534.1888330842787
2020-01-14,2864.358752244892
2020-01-21,6286.219589499345
2020-02-04,-676.7845261686577
2020-02-06,5248.817365992347
2020-02-19,5130.696326277676
2020-03-02,5750.503057209286
2020-03-09,14274.792671955407
2020-03-11,9116.789602971265
2020-03-24,-2675.9883400092012
2020-03-26,6524.5829106758565
2020-03-30,11804.048848463488
2020-04-01,3469.6944993264306
2020-04-08,812.3193451825
2020-04-16,2970.8170167536596
2020-04-28,7053.3771994879135
2020-04-30,4469.4780009422875
2020-05-04,11131.74436297278
2020-05-06,11750.29401410447
2020-05-15,7214.385911416788
2020-05-19,7161.84850887676
2020-06-08,-1253.8354240595218
2020-06-11,6527.244980248752
2020-06-16,5675.033940926065
2020-06-18,8233.408447179874
2020-07-01,5183.604350342557
2020-07-06,5074.879721421277
2020-07-09,3325.8237807447813
2020-07-21,13421.040429141569
2020-08-03,5261.215310652493
2020-08-05,9000.738797521635
2020-08-19,-6964.497012547028
2020-08-27,2784.397465729142
2020-09-08,5747.256240101915
2020-09-23,3482.643205949791
2020-09-29,1769.3830170041613
2020-10-02,2139.5600478530105
2020-10-19,-417.8262177012572
2020-10-30,-200.98906533969193
2020-11-19,-4347.250425464203
2020-11-24,1362.339121109461
2020-12-11,-2328.7228911838715
2020-12-18,1821.3855434802085
2020-12-22,1489.787893709106
2021-01-07,-2820.817078499606
2021-01-14,262.1933970364528
2021-01-19,5382.860889576385
2021-01-21,1636.8457069653427
2021-01-25,2883.669412590999
2021-01-27,1587.585112466783
2021-02-01,1222.6050738734418
2021-02-08,5082.748756697795
2021-02-12,2512.651608773849
2021-04-05,-6822.483128041051
2021-04-20,1901.3841533132036
2021-04-27,1366.8354658971145
2021-05-03,162.29428986888524
2021-05-17,-1082.747255009427
2021-05-19,655.984693293279
2021-05-25,761.5629185964497
2021-06-01,92.70309835464332
2021-06-04,-281.6655785609107
2021-06-10,62.506849842787204
2021-07-02,502.38651610750026
2021-07-16,-379.4061452477307
2021-07-21,965.5622583892032
2021-07-26,1710.214348166795
2021-08-24,-1543.7019520421688
2021-08-27,340.21193878699125
2021-08-31,115.56820482972614
2021-09-02,432.58007763811986
2021-09-08,160.51900815957413
2021-09-10,266.45985720402524
2021-09-17,1138.4306429957926
2021-09-22,1914.2780499734176
2021-10-08,-1372.2852437094089
2021-10-15,464.3737351378851
2021-10-19,1003.5913602651254
2021-10-26,-230.316741043996
2021-10-29,2223.0589804898186
2021-11-04,1309.2694056382522
2021-11-19,-1575.3184450015408
2021-11-26,367.60515131589386
2021-12-03,1224.0154328988503
2021-12-07,902.7973491711919
2021-12-23,-598.1705694496038
2021-12-30,1838.88813828279
2022-01-12,-1866.9579066797812
2022-01-19,1455.4380664636747
2022-01-21,1359.2951857988455
2022-02-01,257.3805952609256
2022-02-03,822.1520372412093
2022-02-07,1578.1082636347062
2022-03-03,220.23121001390382
2022-03-14,-784.8568280981101
2022-03-18,805.6833668895661
2022-03-23,699.2214571084752
2022-03-28,2305.0398977380178
2022-04-01,792.4555025291465
2022-04-05,2394.891640973682
2022-04-29,-2627.6770828327126
2022-05-03,1085.479512188945
2022-05-05,1419.6173192032936
2022-05-09,1205.5807275928266
2022-05-17,392.4641985769365
2022-05-19,971.7807059626674
2022-05-31,-570.8466241000131
2022-06-02,2037.5277127567106
2022-06-06,1807.5340053680488
2022-06-27,-602.3468623029466
2022-07-11,6272.540583801281
2022-07-21,1360.6667239739343
2022-07-25,985.2105468149382
2022-08-03,2156.1027702567926
2022-08-10,3132.496107712146
2022-08-25,290.79950280803854
2022-08-29,1106.280669264925
2022-08-31,880.0092663815547
2022-09-02,2358.3711376498136
2022-09-07,1056.6782186997934
2022-09-12,1066.194767733227
2022-09-14,149.3267006520901
2022-09-20,2036.079566672654
2022-09-22,1475.0779237689035
2022-09-29,1224.2057686837593
2022-10-04,-1082.530944630905
2022-10-06,1035.7964515007932
2022-11-07,-4305.6843059574785
2022-11-09,3410.540309092099
2022-11-17,880.0294786777363
2022-11-25,2329.188563114518
2022-11-29,1578.5262268527072
2022-12-01,2236.083143584582
2022-12-09,829.8159852215472
2022-12-14,1394.3996933692656
2022-12-16,2143.1648647456773
2022-12-22,1194.8139428696586
2023-01-03,324.39362691486616
2023-01-09,710.6879809544173
2023-01-25,-1009.3487832053975
2023-02-10,-780.8218101897482
2023-02-14,1024.9788657272898
2023-02-17,936.9282330484226
2023-02-28,-289.5430455266703
2023-03-03,1353.9885281588263
2023-03-08,1660.3972016108432
2023-03-10,859.7171626622194
2023-03-14,1037.4243377810562
2023-03-16,1239.7583845474303
2023-03-23,811.3094803970407
2023-03-29,2117.1938580869214
2023-04-11,-656.5935536316765
2023-05-11,-2770.3181574649484
2023-05-15,1319.1475338993168
2023-05-18,2519.905814167781
2023-05-22,633.0944959504203
2023-05-25,2824.9817161247875
2023-06-05,-710.13724637423
2023-06-07,1285.805706114201
2023-06-22,-328.93665030335615
2023-06-26,621.3145425377204
2023-06-28,1600.1418577100394
2023-06-30,2077.208048506142
2023-07-18,177.75884332342753
2023-09-25,-9903.177814050265
2023-09-27,1050.6831631143446
2023-09-29,2718.274160710006
2023-10-10,1845.2276743688135
2023-10-18,899.5460450800103
2023-10-20,2081.9836977402856
2023-10-24,1053.8259697767828
2023-10-31,33.05172082608897
2023-12-05,-4629.877445032869
2023-12-07,602.8800308360999
2023-12-11,1483.2825055764727
2023-12-21,381.3402941066905
2023-12-27,978.2201278987898
2024-01-02,2757.123619630744
2024-02-01,-1366.1773823892172
2024-03-15,-8953.176419245778
2024-03-21,214.1956852389019
2024-04-01,1179.866527617682
2024-04-19,2439.609759672703
2024-05-03,-851.2024627657986
